QBlade CE v 2.0.6.4_beta windows

 Calculated polar for: AH 93-W-300

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
13.500   1.5363   0.03966  0.03373  -0.0560  0.0000   0.0000   4.0006   0.0000   0.0000   
14.000   1.5481   0.04366  0.03781  -0.0550  0.0000   0.0000   0.0000   0.0000   0.0000   
14.500   1.5460   0.04908  0.04332  -0.0539  0.0000   0.0000   4.1696   0.0000   0.0000   
15.000   1.5392   0.05526  0.04958  -0.0531  0.0000   0.0000   0.0000   0.0000   0.0000   
15.500   1.5566   0.05918  0.05365  -0.0530  0.0000   0.0000   4.3364   0.0000   0.0000   
16.000   1.5605   0.06460  0.05921  -0.0530  0.0000   0.0000   0.0000   0.0000   0.0000   
17.000   1.5337   0.07924  0.07405  -0.0537  0.0000   0.0000   0.0000   0.0000   0.0000   
18.000   1.5299   0.09130  0.08642  -0.0551  0.0000   0.0000   0.0000   0.0000   0.0000   
18.500   1.5327   0.09698  0.09222  -0.0562  0.0000   0.0000   4.6763   0.0000   0.0000   
19.000   1.5153   0.10522  0.10057  -0.0580  0.0000   0.0000   0.0000   0.0000   0.0000   
19.500   1.4888   0.11471  0.11020  -0.0606  0.0000   0.0000   4.6774   0.0000   0.0000   
20.000   1.4962   0.11990  0.11557  -0.0622  0.0000   0.0000   0.0000   0.0000   0.0000   
20.500   1.4911   0.12664  0.12253  -0.0645  0.0000   0.0000   4.7917   0.0000   0.0000   
21.000   1.4910   0.13190  0.12798  -0.0656  0.0000   0.0000   0.0000   0.0000   0.0000   
21.500   1.4658   0.14051  0.13669  -0.0688  0.0000   0.0000   4.8053   0.0000   0.0000   
22.000   1.4609   0.14727  0.14345  -0.0723  0.0000   0.0000   0.0000   0.0000   0.0000   
22.500   1.4686   0.15188  0.14812  -0.0753  0.0000   0.0000   4.9099   0.0000   0.0000   
23.000   1.4670   0.15790  0.15425  -0.0791  0.0000   0.0000   0.0000   0.0000   0.0000   
23.500   1.4776   0.16241  0.15880  -0.0822  0.0000   0.0000   4.9959   0.0000   0.0000   
24.000   1.4631   0.17082  0.16727  -0.0874  0.0000   0.0000   0.0000   0.0000   0.0000   
24.500   1.4590   0.17797  0.17443  -0.0920  0.0000   0.0000   4.9852   0.0000   0.0000   
25.000   1.4617   0.18414  0.18059  -0.0960  0.0000   0.0000   0.0000   0.0000   0.0000   
25.500   1.4564   0.19201  0.18859  -0.1009  0.0000   0.0000   5.0423   0.0000   0.0000   
26.000   1.4671   0.19719  0.19384  -0.1044  0.0000   0.0000   0.0000   0.0000   0.0000   
26.500   1.4743   0.20305  0.19976  -0.1083  0.0000   0.0000   5.1608   0.0000   0.0000   
27.000   1.4602   0.21310  0.20995  -0.1143  0.0000   0.0000   0.0000   0.0000   0.0000   
27.500   1.4652   0.21960  0.21647  -0.1185  0.0000   0.0000   5.1925   0.0000   0.0000   
28.000   1.4702   0.22613  0.22302  -0.1228  0.0000   0.0000   0.0000   0.0000   0.0000   
28.500   1.4406   0.24026  0.23722  -0.1306  0.0000   0.0000   5.1279   0.0000   0.0000   
29.000   1.4456   0.24704  0.24409  -0.1348  0.0000   0.0000   0.0000   0.0000   0.0000   
29.500   1.4443   0.25535  0.25251  -0.1396  0.0000   0.0000   5.1363   0.0000   0.0000   
30.000   1.4046   0.27343  0.27083  -0.1486  0.0000   0.0000   0.0000   0.0000   0.0000   


