DU 99-W-350
 0.99660     0.00390
 0.98960     0.00600
 0.98230     0.00820
 0.97480     0.01040
 0.96710     0.01280
 0.95900     0.01520
 0.95070     0.01760
 0.94220     0.02010
 0.93330     0.02270
 0.92430     0.02540
 0.91490     0.02820
 0.90530     0.03110
 0.89540     0.03400
 0.88530     0.03710
 0.87490     0.04020
 0.86420     0.04340
 0.85330     0.04680
 0.84220     0.05020
 0.83070     0.05370
 0.81900     0.05730
 0.80710     0.06100
 0.79480     0.06480
 0.78230     0.06860
 0.76960     0.07250
 0.75660     0.07650
 0.74330     0.08060
 0.73000     0.08460
 0.71670     0.08870
 0.70330     0.09270
 0.69000     0.09670
 0.67670     0.10060
 0.66330     0.10450
 0.65000     0.10830
 0.63670     0.11210
 0.62330     0.11590
 0.61000     0.11950
 0.59670     0.12310
 0.58330     0.12670
 0.57000     0.13010
 0.55670     0.13340
 0.54330     0.13660
 0.53000     0.13980
 0.51670     0.14280
 0.50330     0.14560
 0.49000     0.14840
 0.47670     0.15100
 0.46330     0.15340
 0.45000     0.15570
 0.43670     0.15780
 0.42330     0.15980
 0.41000     0.16160
 0.39670     0.16320
 0.38330     0.16470
 0.37000     0.16590
 0.35670     0.16690
 0.34330     0.16770
 0.33000     0.16830
 0.31670     0.16860
 0.30330     0.16860
 0.29000     0.16850
 0.27670     0.16800
 0.26330     0.16720
 0.25000     0.16620
 0.23690     0.16480
 0.22420     0.16320
 0.21180     0.16130
 0.19980     0.15920
 0.18820     0.15680
 0.17680     0.15410
 0.16590     0.15130
 0.15530     0.14820
 0.14500     0.14490
 0.13510     0.14150
 0.12550     0.13780
 0.11630     0.13400
 0.10750     0.13000
 0.09890     0.12590
 0.09080     0.12160
 0.08300     0.11720
 0.07550     0.11260
 0.06840     0.10790
 0.06160     0.10310
 0.05520     0.09820
 0.04920     0.09320
 0.04350     0.08810
 0.03810     0.08290
 0.03310     0.07760
 0.02850     0.07230
 0.02420     0.06690
 0.02020     0.06150
 0.01660     0.05600
 0.01340     0.05050
 0.01050     0.04500
 0.00790     0.03950
 0.00570     0.03380
 0.00390     0.02760
 0.00240     0.02070
 0.00120     0.01400
 0.00040     0.00810
 0.00000     0.00000
 0.00040    -0.00820
 0.00120    -0.01430
 0.00240    -0.02090
 0.00390    -0.02750
 0.00570    -0.03360
 0.00790    -0.03960
 0.01050    -0.04550
 0.01340    -0.05130
 0.01660    -0.05710
 0.02020    -0.06280
 0.02420    -0.06850
 0.02850    -0.07410
 0.03310    -0.07970
 0.03810    -0.08530
 0.04350    -0.09090
 0.04920    -0.09640
 0.05520    -0.10180
 0.06160    -0.10720
 0.06840    -0.11250
 0.07550    -0.11770
 0.08300    -0.12280
 0.09080    -0.12780
 0.09890    -0.13260
 0.10750    -0.13730
 0.11630    -0.14190
 0.12550    -0.14620
 0.13510    -0.15040
 0.14500    -0.15440
 0.15530    -0.15820
 0.16590    -0.16180
 0.17680    -0.16520
 0.18820    -0.16830
 0.19980    -0.17110
 0.21180    -0.17370
 0.22420    -0.17590
 0.23690    -0.17780
 0.25000    -0.17930
 0.26330    -0.18040
 0.27670    -0.18110
 0.29000    -0.18140
 0.30330    -0.18130
 0.31670    -0.18080
 0.33000    -0.18000
 0.34330    -0.17880
 0.35670    -0.17720
 0.37000    -0.17530
 0.38330    -0.17310
 0.39670    -0.17070
 0.41000    -0.16790
 0.42330    -0.16480
 0.43670    -0.16140
 0.45000    -0.15780
 0.46330    -0.15380
 0.47670    -0.14960
 0.49000    -0.14520
 0.50330    -0.14050
 0.51670    -0.13560
 0.53000    -0.13050
 0.54330    -0.12530
 0.55670    -0.11980
 0.57000    -0.11430
 0.58330    -0.10870
 0.59670    -0.10300
 0.61000    -0.09720
 0.62330    -0.09140
 0.63670    -0.08560
 0.65000    -0.07970
 0.66330    -0.07390
 0.67670    -0.06810
 0.69000    -0.06240
 0.70330    -0.05670
 0.71670    -0.05120
 0.73000    -0.04580
 0.74330    -0.04050
 0.75660    -0.03540
 0.76960    -0.03060
 0.78230    -0.02620
 0.79480    -0.02200
 0.80710    -0.01810
 0.81900    -0.01460
 0.83070    -0.01130
 0.84220    -0.00850
 0.85330    -0.00590
 0.86420    -0.00360
 0.87490    -0.00170
 0.88530     0.00000
 0.89540     0.00130
 0.90530     0.00240
 0.91490     0.00320
 0.92430     0.00380
 0.93330     0.00410
 0.94220     0.00410
 0.95070     0.00390
 0.95900     0.00340
 0.96710     0.00270
 0.97480     0.00180
 0.98230     0.00060
 0.98960    -0.00070
 0.99660    -0.00210
